query_slug,query_label,source_name,source_type,title,brand,category,price_rub,old_price_rub,location,seller,listing_url,image_url,availability_note,match_score,collected_at,raw_snippet,country_name,market_scope,source_domain,discount_rub,has_discount,offer_link
adidas-samba,adidas samba,CDEK.Shopping,api,Кроссовки Adidas Samba OG W,Adidas,sneakers,6316,,Гонконг,CDEK Shopping,https://cdek.shopping/p/4562330/zenskie-krossovki-dlya-skeitbordinga-adidas-originals-samba-zelenyi,https://n.cdn.cdek.shopping/images/shopping/fw/300/300/ZsZMlHAXvrzi9cWM.jpg,cross-border delivery,1.0,2026-05-19T00:55:50.668594+00:00,Кроссовки Adidas Samba OG в мятном цвете с кожаным верхом и культовой резиновой подошвой.,Гонконг,cross-border,cdek.shopping,0.0,False,[open](https://cdek.shopping/p/4562330/zenskie-krossovki-dlya-skeitbordinga-adidas-originals-samba-zelenyi)
adidas-samba,adidas samba,CDEK.Shopping,api,"Кроссовки adidas Samba OG, белый/фиолетовый",Adidas,sneakers,7543,,Гонконг,CDEK Shopping,https://cdek.shopping/p/7298486/adidas-samba-og-w-off-white-core-purple-klassicheskie-krossovki,https://n.cdn.cdek.shopping/images/shopping/fw/300/300/b3e12a78ee2e4db88f69fbe5e3594147.jpg,cross-border delivery,1.0,2026-05-19T00:55:50.668757+00:00,"Классические кроссовки adidas Samba OG в бело-фиолетовой расцветке с лаконичным профилем и узнаваемыми деталями бренда. Аккуратная шнуровка помогает добиться комфортной посадки, а фирменные элементы дизайна делают модель уместной как для повседневных образов, так и для стилизаций в эстетике streetwear.",Гонконг,cross-border,cdek.shopping,0.0,False,[open](https://cdek.shopping/p/7298486/adidas-samba-og-w-off-white-core-purple-klassicheskie-krossovki)
adidas-samba,adidas samba,CDEK.Shopping,api,Кроссовки adidas Samba OG,Adidas,sneakers,8004,,Гонконг,CDEK Shopping,https://cdek.shopping/p/6282874/krossovki-adidas-samba-og-unisex-belyi-s-chernymi-i-serymi-aktsentami,https://n.cdn.cdek.shopping/images/shopping/fw/300/300/ed921011cf5e4438ac3eca943bc8f97e.jpg,cross-border delivery,1.0,2026-05-19T00:55:50.668425+00:00,"Культовая модель adidas Samba OG, сочетающая в себе наследие футбола и стиль городской жизни. Универсальный дизайн для повседневных образов.",Гонконг,cross-border,cdek.shopping,0.0,False,[open](https://cdek.shopping/p/6282874/krossovki-adidas-samba-og-unisex-belyi-s-chernymi-i-serymi-aktsentami)
adidas-samba,adidas samba,CDEK.Shopping,api,"Кроссовки Adidas Samba Og, белый/бежевый/коричневый",Adidas,sneakers,8879,,Гонконг,CDEK Shopping,https://cdek.shopping/p/11710723/krossovki-samba-og-adidas-belyi,https://n.cdn.cdek.shopping/images/shopping/fw/300/300/FzsQ5uauTIl8LOK0.jpg,cross-border delivery,1.0,2026-05-19T00:55:50.668921+00:00,<b>Подробнее о товаре:</b><br>• кремовый<br>• коричневый<br>• канвас<br>• кожа<br>• замша<br>• знаковый логотип 3-Stripes<br>• логотип-трилистник<br>• шнуровка спереди<br>• закругленный носок<br>• плоская резиновая подошва,Гонконг,cross-border,cdek.shopping,0.0,False,[open](https://cdek.shopping/p/11710723/krossovki-samba-og-adidas-belyi)
nike-air-force-1,air force 1,CDEK.Shopping,api,Белые подростковые кроссовки Nike Air Force 1 Low LE,Nike,sneakers,8813,,Гонконг,CDEK Shopping,https://cdek.shopping/p/1866676/krossovki-nike-air-force-1-low-le-triple-white-dlia-podrostkov,https://n.cdn.cdek.shopping/images/shopping/fw/300/300/0362ca19469841e48e370b0c985ed4af.jpg,cross-border delivery,1.0,2026-05-19T00:55:37.123273+00:00,"Подростковые кроссовки Nike Air Force 1 Low LE в белом цвете. Универсальная модель для повседневной носки, сочетающая в себе классический силуэт, лаконичный дизайн и практичность.",Гонконг,cross-border,cdek.shopping,0.0,False,[open](https://cdek.shopping/p/1866676/krossovki-nike-air-force-1-low-le-triple-white-dlia-podrostkov)
nike-air-force-1,air force 1,CDEK.Shopping,api,"Кроссовки Nike Air Force 1 '07 Low Triple, Black",Nike,sneakers,10726,,Гонконг,CDEK Shopping,https://cdek.shopping/p/1868254/krossovki-nike-air-force-1-07-low-triple-black,https://n.cdn.cdek.shopping/images/shopping/fw/300/300/b6bf26c6b79f41b6b971374a52ec90b3.jpg,cross-border delivery,1.0,2026-05-19T00:55:37.123635+00:00,"<p>Nike Air Force 1 '07 Low в черном цвете — низкие кроссовки с кожаным верхом, обеспечивающие комфорт и стиль. Мягкий воротник, перфорация и амортизация Nike Air для повседневного использования.</p>",Гонконг,cross-border,cdek.shopping,0.0,False,[open](https://cdek.shopping/p/1868254/krossovki-nike-air-force-1-07-low-triple-black)
nike-air-force-1,air force 1,CDEK.Shopping,api,Мужские кроссовки Nike Air Force 1 '07,Nike,sneakers,11662,,США,CDEK Shopping,https://cdek.shopping/p/12574/muzhskie-krossovki-nike-air-force-1-07,https://n.cdn.cdek.shopping/images/shopping/fw/300/300/40c77a2eaccc49f89d1edfbedeafaebc.jpg,cross-border delivery,1.0,2026-05-19T00:55:37.123433+00:00,"Мужские кроссовки Nike Air Force 1 '07 — сочетание функциональности, комфорта и узнаваемого дизайна. Лаконичный силуэт подходит для повседневных образов и аккуратно смотрится с разной одеждой.",США,cross-border,cdek.shopping,0.0,False,[open](https://cdek.shopping/p/12574/muzhskie-krossovki-nike-air-force-1-07)
nike-air-force-1,air force 1,CDEK.Shopping,api,Nike Air Force 1 Low '07 White,Nike,sneakers,12228,,Гонконг,CDEK Shopping,https://cdek.shopping/p/4519534/nike-air-force-1-07-low-belyi,https://n.cdn.cdek.shopping/images/shopping/fw/300/300/5z0qfbiirHt4h1Uf.jpg,cross-border delivery,1.0,2026-05-19T00:55:37.123531+00:00,"Белые кроссовки Nike Air Force 1 Low '07 — это классика, сочетающая в себе комфорт, стиль и универсальность. Верх из натуральной кожи, низкий профиль и плоская подошва.",Гонконг,cross-border,cdek.shopping,0.0,False,[open](https://cdek.shopping/p/4519534/nike-air-force-1-07-low-belyi)
nike-air-max-90,air max 90,CDEK.Shopping,api,Кроссовки Nike Air Max 90 GORE-TEX,Nike,sneakers,10479,,Гонконг,CDEK Shopping,https://cdek.shopping/p/1847998/nike-air-max-90-gore-tex-ikona-stilia-i-neprevzoidennaia-zashchita-ot-nepogody,https://n.cdn.cdek.shopping/images/shopping/fw/300/300/3R7EbSk8bNVYlQzN.jpg,cross-border delivery,1.0,2026-05-19T00:55:43.745514+00:00,"Nike Air Max 90 GORE-TEX в серо-белой палитре с акцентами. Комбинация кожи и текстиля, мембранная защита GORE?TEX и фирменный силуэт Air Max.",Гонконг,cross-border,cdek.shopping,0.0,False,[open](https://cdek.shopping/p/1847998/nike-air-max-90-gore-tex-ikona-stilia-i-neprevzoidennaia-zashchita-ot-nepogody)
nike-air-max-90,air max 90,CDEK.Shopping,api,Мужские кроссовки Nike Air Max 90,Nike,sneakers,14047,,Гонконг,CDEK Shopping,https://cdek.shopping/p/12586/muzhskie-krossovki-nike-air-max-90-belyi,https://n.cdn.cdek.shopping/images/shopping/fw/300/300/be72062a26e74e27b6489d5695504ab3.jpg,cross-border delivery,1.0,2026-05-19T00:55:43.745386+00:00,"Классические кроссовки Nike Air Max 90 в белом цвете: комфорт, амортизация и узнаваемый дизайн для повседневной носки.",Гонконг,cross-border,cdek.shopping,0.0,False,[open](https://cdek.shopping/p/12586/muzhskie-krossovki-nike-air-max-90-belyi)
nike-air-max-90,air max 90,CDEK.Shopping,api,Кроссовки Nike Air Max 90 'Smoke Grey',Nike,sneakers,18540,,США,CDEK Shopping,https://cdek.shopping/p/456843/krossovki-nike-air-max-90-smoke-grey-seryi,https://n.cdn.cdek.shopping/images/shopping/fw/300/300/bec0017203754d3a80d00d6fd782db27.jpg,cross-border delivery,1.0,2026-05-19T00:55:43.745621+00:00,"Легендарные кроссовки Nike Air Max 90 в стильной расцветке 'Smoke Grey', выпущенные в 2021 году. Сочетание синтетических материалов и технологии Air для комфорта и долговечности.",США,cross-border,cdek.shopping,0.0,False,[open](https://cdek.shopping/p/456843/krossovki-nike-air-max-90-smoke-grey-seryi)
nike-air-max-90,air max 90,CDEK.Shopping,api,"Кроссовки Nike Air Max 90 'Día de Muertos', оранжевый",Nike,sneakers,61484,,США,CDEK Shopping,https://cdek.shopping/p/453303/krossovki-nike-air-max-90-dia-de-muertos-oranzevyi,https://n.cdn.cdek.shopping/images/shopping/fw/300/300/b9cb8141551e4a9e988dea5e1df17928.jpg,cross-border delivery,1.0,2026-05-19T00:55:43.745702+00:00,"Кроссовки Nike Air Max 90 'Día de Muertos', оранжевый",США,cross-border,cdek.shopping,0.0,False,[open](https://cdek.shopping/p/453303/krossovki-nike-air-max-90-dia-de-muertos-oranzevyi)
new-balance-530,new balance 530,CDEK.Shopping,api,Кроссовки New Balance 530: Белый/Серебристый,New Balance,sneakers,8055,,Гонконг,CDEK Shopping,https://cdek.shopping/p/2580354/krossovki-new-balance-530-unisex,https://n.cdn.cdek.shopping/images/shopping/fw/300/300/bllVsTx8MTeFiuRW.jpg,cross-border delivery,1.0,2026-05-19T00:55:57.072618+00:00,"Переосмысление архивного силуэта New Balance 530: ретро-дизайн, комфорт и универсальность для повседневной носки.",Гонконг,cross-border,cdek.shopping,0.0,False,[open](https://cdek.shopping/p/2580354/krossovki-new-balance-530-unisex)
