query_slug,query_label,source_name,source_type,title,brand,category,price_rub,old_price_rub,location,seller,listing_url,image_url,availability_note,match_score,collected_at,raw_snippet,country_name,market_scope,source_domain,discount_rub,has_discount,offer_link
adidas-samba,adidas samba,Lamoda,static,adidas Originals Кеды SAMBA OG J,adidas Originals,sneakers,5999,9999.0,,,https://www.lamoda.ru/catalogsearch/result/?q=adidas+samba,https://a.lmcdn.ru/img236x341/R/T/RTLAEZ128101_33419780_1_v1_2x.jpg,,1.0,2026-05-19T00:55:44.405261+00:00,9 999 5 999 ₽ adidas Originals Кеды SAMBA OG J,,local,lamoda.ru,4000.0,True,[open](https://www.lamoda.ru/catalogsearch/result/?q=adidas+samba)
adidas-samba,adidas samba,Lamoda,static,adidas Originals Кеды SAMBA OG,adidas Originals,sneakers,10499,14999.0,,,https://www.lamoda.ru/catalogsearch/result/?q=adidas+samba,https://a.lmcdn.ru/img236x341/R/T/RTLADH626102_30714094_1_v1_2x.jpg,,1.0,2026-05-19T00:55:44.405870+00:00,14 999 10 499 ₽ adidas Originals Кеды SAMBA OG,,local,lamoda.ru,4500.0,True,[open](https://www.lamoda.ru/catalogsearch/result/?q=adidas+samba)
adidas-samba,adidas samba,Lamoda,static,adidas Originals Кеды SAMBA OG,adidas Originals,sneakers,11999,14999.0,,,https://www.lamoda.ru/catalogsearch/result/?q=adidas+samba,https://a.lmcdn.ru/img236x341/R/T/RTLACY244902_31752018_1_v1_2x.jpg,,1.0,2026-05-19T00:55:44.406146+00:00,14 999 11 999 ₽ adidas Originals Кеды SAMBA OG,,local,lamoda.ru,3000.0,True,[open](https://www.lamoda.ru/catalogsearch/result/?q=adidas+samba)
nike-air-force-1,air force 1,Lamoda,static,"Nike Кеды со съемным чехлом, AIR FORCE 1 '07 LX MOP3",Nike,sneakers,14819,18999.0,,,https://www.lamoda.ru/catalogsearch/result/?q=air+force+1,https://a.lmcdn.ru/img236x341/R/T/RTLAEZ486101_31937999_1_v2_2x.jpg,,1.0,2026-05-19T00:55:21.129831+00:00,"18 999 14 819 ₽ Nike Кеды со съемным чехлом, AIR FORCE 1 '07 LX MOP3",,local,lamoda.ru,4180.0,True,[open](https://www.lamoda.ru/catalogsearch/result/?q=air+force+1)
nike-air-force-1,air force 1,Lamoda,static,Nike Кеды WMNS AIR FORCE 1 '07,Nike,sneakers,17091,18990.0,,,https://www.lamoda.ru/catalogsearch/result/?q=air+force+1,https://a.lmcdn.ru/img236x341/R/T/RTLAES127901_30349338_1_v1_2x.jpg,,1.0,2026-05-19T00:55:21.129064+00:00,18 990 17 091 ₽ Nike Кеды WMNS AIR FORCE 1 '07,,local,lamoda.ru,1899.0,True,[open](https://www.lamoda.ru/catalogsearch/result/?q=air+force+1)
nike-air-force-1,air force 1,Lamoda,static,Nike Кеды AIR FORCE 1 '07 LV8 1,Nike,sneakers,17099,18999.0,,,https://www.lamoda.ru/catalogsearch/result/?q=air+force+1,https://a.lmcdn.ru/img236x341/R/T/RTLAEY042101_31582595_1_v1_2x.jpg,,1.0,2026-05-19T00:55:21.130121+00:00,18 999 17 099 ₽ Nike Кеды AIR FORCE 1 '07 LV8 1,,local,lamoda.ru,1900.0,True,[open](https://www.lamoda.ru/catalogsearch/result/?q=air+force+1)
nike-air-force-1,air force 1,Lamoda,static,Nike Кеды Nike Air Force 1 '07,Nike,sneakers,18999,,,,https://www.lamoda.ru/catalogsearch/result/?q=air+force+1,https://a.lmcdn.ru/img236x341/R/T/RTLAFE423701_33663702_1_v1_2x.jpg,,1.0,2026-05-19T00:55:21.129527+00:00,18 999 ₽ Nike Кеды Nike Air Force 1 '07,,local,lamoda.ru,0.0,False,[open](https://www.lamoda.ru/catalogsearch/result/?q=air+force+1)
nike-air-max-90,air max 90,Lamoda,static,Nike Кроссовки Nike Air Max 90,Nike,sneakers,15594,25990.0,,,https://www.lamoda.ru/catalogsearch/result/?q=air+max+90,https://a.lmcdn.ru/img236x341/R/T/RTLADV553001_25406172_1_v1.jpg,,1.0,2026-05-19T00:55:37.785760+00:00,25 990 15 594 ₽ Nike Кроссовки Nike Air Max 90,,local,lamoda.ru,10396.0,True,[open](https://www.lamoda.ru/catalogsearch/result/?q=air+max+90)
nike-air-max-90,air max 90,Lamoda,static,Nike Кроссовки Nike Air Max 90,Nike,sneakers,17599,21999.0,,,https://www.lamoda.ru/catalogsearch/result/?q=air+max+90,https://a.lmcdn.ru/img236x341/R/T/RTLAFE423801_33658503_1_v1_2x.jpg,,1.0,2026-05-19T00:55:37.785183+00:00,21 999 17 599 ₽ Nike Кроссовки Nike Air Max 90,,local,lamoda.ru,4400.0,True,[open](https://www.lamoda.ru/catalogsearch/result/?q=air+max+90)
nike-air-max-90,air max 90,Lamoda,static,Nike Кроссовки Air Max 90 Premium,Nike,sneakers,21999,,,,https://www.lamoda.ru/catalogsearch/result/?q=air+max+90,https://a.lmcdn.ru/img236x341/R/T/RTLAFE417001_33696736_1_v3_2x.jpg,,1.0,2026-05-19T00:55:37.784851+00:00,21 999 ₽ Nike Кроссовки Air Max 90 Premium,,local,lamoda.ru,0.0,False,[open](https://www.lamoda.ru/catalogsearch/result/?q=air+max+90)
new-balance-530,new balance 530,Lamoda,static,New Balance Кроссовки 530,New Balance,sneakers,18990,,,,https://www.lamoda.ru/catalogsearch/result/?q=new+balance+530,https://a.lmcdn.ru/img236x341/R/T/RTLAEX840501_32707043_1_v1_2x.jpg,,1.0,2026-05-19T00:55:51.174646+00:00,18 990 ₽ New Balance Кроссовки 530,,local,lamoda.ru,0.0,False,[open](https://www.lamoda.ru/catalogsearch/result/?q=new+balance+530)
new-balance-530,new balance 530,Lamoda,static,New Balance Кроссовки 530,New Balance,sneakers,18999,,,,https://www.lamoda.ru/catalogsearch/result/?q=new+balance+530,https://a.lmcdn.ru/img236x341/R/T/RTLAFD787501_33936837_1_v1_2x.jpg,,1.0,2026-05-19T00:55:51.175672+00:00,18 999 ₽ New Balance Кроссовки 530,,local,lamoda.ru,0.0,False,[open](https://www.lamoda.ru/catalogsearch/result/?q=new+balance+530)
